timestamp,model,job_type,account_id,prompt_tokens,completion_tokens,total_tokens,latency_ms,success,error
2026-08-01T09:50:01.394921,openai/gpt-oss-120b,explanation,1014,603,638,1241,9813.3,True,
2026-08-01T09:50:10.390607,openai/gpt-oss-120b,explanation,1015,598,659,1257,8987.7,True,
2026-08-01T09:50:19.406164,openai/gpt-oss-120b,explanation,1016,597,539,1136,9013.9,True,
2026-08-01T09:50:29.238105,openai/gpt-oss-120b,explanation,1017,618,563,1181,9831.9,True,
2026-08-01T09:50:37.237565,openai/gpt-oss-120b,explanation,1018,595,613,1208,7999.5,True,
2026-08-01T09:50:47.323247,openai/gpt-oss-120b,explanation,1019,640,711,1351,10083.0,True,
2026-08-01T09:50:57.570117,openai/gpt-oss-120b,explanation,1020,589,758,1347,10246.9,True,
2026-08-01T09:51:06.689105,openai/gpt-oss-120b,explanation,1021,574,713,1287,9119.0,True,
2026-08-01T09:51:16.604065,openai/gpt-oss-120b,explanation,1022,589,629,1218,9913.6,True,
2026-08-01T09:51:25.946537,openai/gpt-oss-120b,explanation,1023,586,854,1440,9341.2,True,
2026-08-01T09:51:37.565807,openai/gpt-oss-120b,explanation,1024,595,754,1349,11619.3,True,
2026-08-01T09:51:46.438402,openai/gpt-oss-120b,explanation,1025,543,614,1157,8871.6,True,
2026-08-01T09:51:55.026525,openai/gpt-oss-120b,explanation,1026,541,417,958,8587.2,True,
2026-08-01T09:52:02.360738,openai/gpt-oss-120b,explanation,1027,549,804,1353,7333.3,True,
2026-08-01T09:52:11.756118,openai/gpt-oss-120b,explanation,1028,551,827,1378,9394.4,True,
2026-08-01T09:52:22.957719,openai/gpt-oss-120b,explanation,1029,553,714,1267,11200.6,True,
